businessname,legalowner,namelast,namefirst,licenseno,issdttm,expdttm,licstatus,licensecat,descript,result,resultdttm,violdesc,violstatus,comments,address,city,state,zip
AK'S TAKEOUT,Robert Dunkle,309 D Street Inc,Jasbir Saini,430834,2020-07-15T10:59:03Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Filed,2021-03-26T14:23:30Z,Packaged and Unpackaged Food-Separation  Packaging  and Segregation  (C),Fail,Ensure all foods are elevated off the floors including the walk-in units during storage as discussed                                                                               ensure segragation of raw foods and ready to eat foods are being done at the sandwich unit to reduce potential cross contamination  being stored a little to close to each other at the moment  corrected during the inspection,309   D ST,South Boston,MA,2127
AK'S TAKEOUT,Robert Dunkle,309 D Street Inc,Jasbir Saini,430834,2020-07-15T10:59:03Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Filed,2021-03-26T14:23:30Z,Food Labels (C),Fail,Clearly label to properly identify all bulk food containers as well as all plastic spray bottles scattered throughout the kitchen                                  Ensure all foods out for retail sale have an ingredient label for the pastries out in the open self service refrigerated unit by the front counter,309   D ST,South Boston,MA,2127
AK'S TAKEOUT,Robert Dunkle,309 D Street Inc,Jasbir Saini,430834,2020-07-15T10:59:03Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Filed,2021-03-26T14:23:30Z,Floors  Walls and Ceilings-Cleanability (C),Fail,Clean walls behind all cooking equipment on the cooking line from all visible food soills  stains and soils,309   D ST,South Boston,MA,2127
ALFREDO'S ITALIAN KITCHEN,,Adel Hamad,,23175,2012-01-23T14:31:38Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,2021-02-05T10:43:34Z,Nonfood Contact Surfaces (C),Pass,Exterior of prep table drawers with visible soils / Clean to remove.  Exterior of stand up reach ins with visible soils / Clean to remove.,243   Dorchester ST,South Boston,MA,2127
ALFREDO'S ITALIAN KITCHEN,,Adel Hamad,,23175,2012-01-23T14:31:38Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,2021-02-05T10:43:34Z,Walls and Ceilings  Attachments (C),Pass,Hood tag expired in December 2020 / Contact hood cleaning company ASAP,243   Dorchester ST,South Boston,MA,2127
ALFREDO'S ITALIAN KITCHEN,,Adel Hamad,,23175,2012-01-23T14:31:38Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,2021-02-05T10:43:34Z,,Pass,8-304.11 (A) Post the current permit in a location of the establishment that is conspicuous to the consumer.,243   Dorchester ST,South Boston,MA,2127
AMRHEIN'S,Mulrey Joseph,Mulrey,Joseph,18844,2011-12-30T13:15:20Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-04-02T12:48:30Z,Packaged and Unpackaged Food-Separation  Packaging  and Segregation  (C),Pass,Cover all exposed foods in the refrigeration / freezer units during extended periods of storage to ensure integrity and quality of the unwrapped food,80 W BROADWAY,SOUTH BOSTON,MA,2127
AMRHEIN'S,Mulrey Joseph,Mulrey,Joseph,18844,2011-12-30T13:15:20Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-04-02T12:48:30Z,In-Use Utensils  Between-Use Storage (C),Pass,Ensure all ice scoops have a handle and if stored in ice do not store too deep so that the handle is in the ice,80 W BROADWAY,SOUTH BOSTON,MA,2127
AMRHEIN'S,Mulrey Joseph,Mulrey,Joseph,18844,2011-12-30T13:15:20Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-04-02T12:48:30Z,Nonfood-Contact Surfaces (C),Pass,Clean inside and outside of all equipment on the cooking line from visible food spills  stains and soils - clean under toasters and waffle irons,80 W BROADWAY,SOUTH BOSTON,MA,2127
AMRHEIN'S,Mulrey Joseph,Mulrey,Joseph,18844,2011-12-30T13:15:20Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-04-02T12:48:30Z,Service Sink (C),Pass,Enclose exposed areas as discussed,80 W BROADWAY,SOUTH BOSTON,MA,2127
AMRHEIN'S,Mulrey Joseph,Mulrey,Joseph,18844,2011-12-30T13:15:20Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-04-02T12:48:30Z,Area  Enclosures and Receptacles  Good Repair (C),Pass,Address issues concerning the rear entrance as discussed,80 W BROADWAY,SOUTH BOSTON,MA,2127
AMRHEIN'S,Mulrey Joseph,Mulrey,Joseph,18844,2011-12-30T13:15:20Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-04-02T12:48:30Z,Outside Receptacles (C),Pass,Clean as discussed,80 W BROADWAY,SOUTH BOSTON,MA,2127
AMRHEIN'S,Mulrey Joseph,Mulrey,Joseph,18844,2011-12-30T13:15:20Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-04-02T12:48:30Z,Floors  Walls and Ceilings-Cleanability (C),Pass,Clean kitchen floor  walls and ceiling from all visible food spills  stains and soils as discussed,80 W BROADWAY,SOUTH BOSTON,MA,2127
AMRHEIN'S,Mulrey Joseph,Mulrey,Joseph,18844,2011-12-30T13:15:20Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-04-02T12:48:30Z,Wall and Ceiling Coverings and Coatings (C),Pass,Missing light covers above the ice machine and prep station in the kitchen  replace,80 W BROADWAY,SOUTH BOSTON,MA,2127
AMRHEIN'S,Mulrey Joseph,Mulrey,Joseph,18844,2011-12-30T13:15:20Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-04-02T12:48:30Z,Walls and Ceilings  Attachments (C),Pass,Replace missing door sweep on the rear kitchen door leading into the kitchen,80 W BROADWAY,SOUTH BOSTON,MA,2127
AMRHEIN'S,Mulrey Joseph,Mulrey,Joseph,18844,2011-12-30T13:15:20Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-04-02T12:48:30Z,Maintaining Premises  Unnecessary Items and Litter (C),Pass,Remove any broken equipment  tables and rusted pieces of old equipment collecting outside by the kitchen swing door,80 W BROADWAY,SOUTH BOSTON,MA,2127
ANDREW SQUARE HOUSE OF PIZZA,Manias Nicholas,Kadilliu,Marenglen,377074,2019-01-03T09:34:00Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Filed,2021-03-09T15:38:30Z,Packaged and Unpackaged Food-Separation  Packaging  and Segregation  (C),Fail,Ensure all foods are elevated off the ground / floor a minimum of six inches during storage including the basement.,395  Dorchester ST,South Boston,MA,2127
ANDREW SQUARE HOUSE OF PIZZA,Manias Nicholas,Kadilliu,Marenglen,377074,2019-01-03T09:34:00Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Filed,2021-03-09T15:38:30Z,Wiping Cloths  Use Limitation (C),Fail,Set up as discussed. One for raw foods and a seperate sanitizing bucket with wiping cloths for ready to eat foods,395  Dorchester ST,South Boston,MA,2127
ANDREW SQUARE HOUSE OF PIZZA,Manias Nicholas,Kadilliu,Marenglen,377074,2019-01-03T09:34:00Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Filed,2021-03-09T15:38:30Z,Handwashing Signage  (C),Fail,"Clearly and properly identify all hand sinks in the facility with signs strating "" HAND WASHING ONLY """,395  Dorchester ST,South Boston,MA,2127
BOSTON BAGEL COMPANY,,Totoni,Klaudjon,353202,2018-01-05T15:51:11Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-02-16T11:24:52Z,(A) Certified Food Protection Manager (C),Pass,No one working this shift has a current food safety certification  ensure there is a certified food safety PIC on site during hours of operation,753 E Broadway,South Boston,MA,2127
BOSTON BAGEL COMPANY,,Totoni,Klaudjon,353202,2018-01-05T15:51:11Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-02-16T11:24:52Z,Effectiveness-Hair Restraints (C),Pass,Ensure all food handlers have on proper hair restraints when working with food,753 E Broadway,South Boston,MA,2127
BOSTON BAGEL COMPANY,,Totoni,Klaudjon,353202,2018-01-05T15:51:11Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-02-16T11:24:52Z,Preventing Contamination from Hands (C),Pass,Paper towels were empty at the hand sink  COS,753 E Broadway,South Boston,MA,2127
BOSTON BAGEL COMPANY,,Totoni,Klaudjon,353202,2018-01-05T15:51:11Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-02-16T11:24:52Z,Nonfood-Contact Surfaces (C),Pass,Clean all shelving units containing the bagels from all visible food spills from the bagel ingredients [ poppy seeds  sesame seeds  peppercorns ]                                                                                                                                                                                                   Clean inside and outside of all refrigeration / freezer units from food spills  stains and soils,753 E Broadway,South Boston,MA,2127
BOSTON BAGEL COMPANY,,Totoni,Klaudjon,353202,2018-01-05T15:51:11Z,2021-12-31T23:59:00Z,Active,FS,Eating & Drinking,HE_Pass,2021-02-16T11:24:52Z,Floors  Walls and Ceilings-Cleanability (C),Pass,Clean floor of the walk -in freezer from visible ice build up and food spills,753 E Broadway,South Boston,MA,2127
BROADWAY PASTRY,,Aobh Inc.,Arian Hysenaj,148349,2015-10-02T08:21:49Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Filed,2021-02-24T14:59:20Z,Assignment (Pf),Pass,No current health permit on site - owner was unaware of the situation - address immediately,258 W Broadway,South Boston,MA,2127
BROADWAY PASTRY,,Aobh Inc.,Arian Hysenaj,148349,2015-10-02T08:21:49Z,2021-12-31T23:59:00Z,Active,FT,Eating & Drinking w/ Take Out,HE_Filed,2021-02-24T14:59:20Z,Effectiveness-Hair Restraints (C),Pass,Ensure all staff working with food have on  proper hair restraints during hours of operation,258 W Broadway,South Boston,MA,2127
